TICID,SECTOR,RA_OBJ,DEC_OBJ,EQUINOX,PMRA,PMDEC,PMTOTAL,TESSMAG,TEFF,LOGG,MH,RADIUS
140663885,13,72.736809,-74.980377,2000.0,24.3024,-23.2291,33.61841359,9.94499969,5785.08007813,4.35138988,0.361471,0.97573501
140761641,13,74.4294,-77.72272,2000.0,-5.79672,41.909,42.30799267,11.13000011,5565.0,4.38628006,nan,1.05189002
140828063,13,75.453086,-75.509072,2000.0,22.3509,24.1088,32.8754767,11.13799953,5932.60009766,4.48999977,-0.5,1.02198994
140828333,13,75.305042,-75.096019,2000.0,-34.8121,-86.174,92.93998377,10.06099987,5811.70019531,4.21999979,-0.82999998,1.03926003
140829864,13,75.489319,-73.373328,2000.0,28.4669,29.2175,40.7924834,11.59200001,5520.41015625,4.48873997,-0.0886665,0.914038
140830874,13,75.592949,-72.513458,2000.0,5.66297,-1.27482,5.80468735,10.54899979,5507.74023438,4.33459997,-0.47612101,0.911807
140939704,13,77.012649,-73.324911,2000.0,52.1287,33.8413,62.15010016,10.74199963,5701.24023438,4.43456984,-0.31471801,0.968095
140940493,13,77.018015,-72.708968,2000.0,27.5183,107.64,111.10187413,10.15200043,5516.25,4.50310993,-0.0243424,0.91451102
141123049,13,80.293607,-74.460786,2000.0,51.6179,22.3397,56.24473128,11.1079998,5988.0,4.54648018,nan,0.92701501
141211966,13,81.856677,-73.077381,2000.0,14.7,12.7,19.42627087,11.19499969,5612.0,4.37697983,nan,1.06956995
141212881,13,81.832102,-72.426923,2000.0,8.09428,8.69567,11.8799009,11.15100002,5584.0,4.38250017,nan,1.05903995
141548474,13,88.505545,-72.278726,2000.0,-37.2286,-1.94778,37.27951857,10.05599976,5528.0,4.51615,nan,0.90143901
141686804,13,90.490684,-74.836705,2000.0,29.4895,36.0876,46.60413591,10.99300003,5594.79003906,4.42687988,0.27284101,1.07966006
141708147,13,90.491191,-76.871944,2000.0,-18.2459,65.851,68.33203544,10.22900009,5585.0,4.41252995,nan,1.02319002
141824122,13,93.218418,-74.186174,2000.0,19.8188,68.646,71.44968964,10.39500046,5676.0,4.36036015,nan,1.09900999
141909481,13,94.468046,-75.989826,2000.0,11.594,-11.8133,16.55218695,10.32400036,5570.0,4.38528013,nan,1.05376995
141912903,13,94.555001,-73.264253,2000.0,4.5819,20.4992,21.00502341,11.13700008,5600.0,4.37934017,nan,1.06506002
